"id_videos_leiloes","nome","link","link_miniatura","ativo"
18,LOTE 068,assets/videos/videos_leiloes/1/LOTE068.mp4,assets/imagens/miniaturas_videos_leiloes/1/068.jpg,1
19,LOTE 069,assets/videos/videos_leiloes/1/LOTE069.mp4,assets/imagens/miniaturas_videos_leiloes/1/069.jpg,1
20,LOTE 070,assets/videos/videos_leiloes/1/LOTE070.mp4,assets/imagens/miniaturas_videos_leiloes/1/070.jpg,1
21,LOTE 071,assets/videos/videos_leiloes/1/LOTE071.mp4,assets/imagens/miniaturas_videos_leiloes/1/071.jpg,1
22,LOTE 072,assets/videos/videos_leiloes/1/LOTE072.mp4,assets/imagens/miniaturas_videos_leiloes/1/072.jpg,1
23,LOTE 073,assets/videos/videos_leiloes/1/LOTE073.mp4,assets/imagens/miniaturas_videos_leiloes/1/073.jpg,1
25,LOTE 075,assets/videos/videos_leiloes/1/LOTE075.mp4,assets/imagens/miniaturas_videos_leiloes/1/075.jpg,1
26,LOTE 076,assets/videos/videos_leiloes/1/LOTE076.mp4,assets/imagens/miniaturas_videos_leiloes/1/076.jpg,1
27,LOTE 077,assets/videos/videos_leiloes/1/LOTE077.mp4,assets/imagens/miniaturas_videos_leiloes/1/077.jpg,1
28,LOTE 078,assets/videos/videos_leiloes/1/LOTE078.mp4,assets/imagens/miniaturas_videos_leiloes/1/078.jpg,1
29,LOTE 079,assets/videos/videos_leiloes/1/LOTE079.mp4,assets/imagens/miniaturas_videos_leiloes/1/079.jpg,1
30,LOTE 080,assets/videos/videos_leiloes/1/LOTE080.mp4,assets/imagens/miniaturas_videos_leiloes/1/080.jpg,1
31,LOTE 081,assets/videos/videos_leiloes/1/LOTE081.mp4,assets/imagens/miniaturas_videos_leiloes/1/081.jpg,1
32,LOTE 082,assets/videos/videos_leiloes/1/LOTE082.mp4,assets/imagens/miniaturas_videos_leiloes/1/082.jpg,1
33,LOTE 083,assets/videos/videos_leiloes/1/LOTE083.mp4,assets/imagens/miniaturas_videos_leiloes/1/083.jpg,1
34,LOTE 084,assets/videos/videos_leiloes/1/LOTE084.mp4,assets/imagens/miniaturas_videos_leiloes/1/084.jpg,1
35,LOTE 085,assets/videos/videos_leiloes/1/LOTE085.mp4,assets/imagens/miniaturas_videos_leiloes/1/085.jpg,1
36,LOTE 086,assets/videos/videos_leiloes/1/LOTE086.mp4,assets/imagens/miniaturas_videos_leiloes/1/086.jpg,1
37,LOTE 087,assets/videos/videos_leiloes/1/LOTE087.mp4,assets/imagens/miniaturas_videos_leiloes/1/087.jpg,1
38,LOTE 088,assets/videos/videos_leiloes/1/LOTE088.mp4,assets/imagens/miniaturas_videos_leiloes/1/088.jpg,1
39,LOTE 089,assets/videos/videos_leiloes/1/LOTE089.mp4,assets/imagens/miniaturas_videos_leiloes/1/089.jpg,1
40,LOTE 090,assets/videos/videos_leiloes/1/LOTE090.mp4,assets/imagens/miniaturas_videos_leiloes/1/090.jpg,1
41,LOTE 091,assets/videos/videos_leiloes/1/LOTE091.mp4,assets/imagens/miniaturas_videos_leiloes/1/091.jpg,1
42,LOTE 092,assets/videos/videos_leiloes/1/LOTE092.mp4,assets/imagens/miniaturas_videos_leiloes/1/092.jpg,1
43,LOTE 093,assets/videos/videos_leiloes/1/LOTE093.mp4,assets/imagens/miniaturas_videos_leiloes/1/093.jpg,1
44,LOTE 094,assets/videos/videos_leiloes/1/LOTE094.mp4,assets/imagens/miniaturas_videos_leiloes/1/094.jpg,1
45,LOTE 095,assets/videos/videos_leiloes/1/LOTE095.mp4,assets/imagens/miniaturas_videos_leiloes/1/095.jpg,1
46,LOTE 096,assets/videos/videos_leiloes/1/LOTE096.mp4,assets/imagens/miniaturas_videos_leiloes/1/096.jpg,1
47,LOTE 079,assets/videos/videos_leiloes/1/LOTE097.mp4,assets/imagens/miniaturas_videos_leiloes/1/097.jpg,1
48,LOTE 098,assets/videos/videos_leiloes/1/LOTE098.mp4,assets/imagens/miniaturas_videos_leiloes/1/098.jpg,1
49,LOTE 099,assets/videos/videos_leiloes/1/LOTE099.mp4,assets/imagens/miniaturas_videos_leiloes/1/099.jpg,1
50,LOTE 100,assets/videos/videos_leiloes/1/LOTE100.mp4,assets/imagens/miniaturas_videos_leiloes/1/100.jpg,1
51,LOTE 101,assets/videos/videos_leiloes/1/LOTE101.mp4,assets/imagens/miniaturas_videos_leiloes/1/101.jpg,1
52,LOTE 102,assets/videos/videos_leiloes/1/LOTE102.mp4,assets/imagens/miniaturas_videos_leiloes/1/102.jpg,1
53,LOTE 103,assets/videos/videos_leiloes/1/LOTE103.mp4,assets/imagens/miniaturas_videos_leiloes/1/103.jpg,1
54,LOTE 104,assets/videos/videos_leiloes/1/LOTE104.mp4,assets/imagens/miniaturas_videos_leiloes/1/104.jpg,1
55,LOTE 105,assets/videos/videos_leiloes/1/LOTE105.mp4,assets/imagens/miniaturas_videos_leiloes/1/105.jpg,1
56,LOTE 106,assets/videos/videos_leiloes/1/LOTE106.mp4,assets/imagens/miniaturas_videos_leiloes/1/106.jpg,1
57,LOTE 107,assets/videos/videos_leiloes/1/LOTE107.mp4,assets/imagens/miniaturas_videos_leiloes/1/107.jpg,1
58,LOTE 108,assets/videos/videos_leiloes/1/LOTE108.mp4,assets/imagens/miniaturas_videos_leiloes/1/108.jpg,1
59,LOTE 109,assets/videos/videos_leiloes/1/LOTE109.mp4,assets/imagens/miniaturas_videos_leiloes/1/109.jpg,1
60,LOTE 110,assets/videos/videos_leiloes/1/LOTE110.mp4,assets/imagens/miniaturas_videos_leiloes/1/110.jpg,1
